Date,Location,Weather,Visibility_m,Traffic_Density_vehicles_per_min,Accident_Occurred,Severity
2020-01-06 22:00:00,Sector 62,Cloudy,263,19,1,Low
2020-01-06 23:00:00,Intersection B,Clear,57,64,0,Medium
2020-01-07 00:00:00,Intersection A,Rain,75,27,0,Medium
2020-01-07 01:00:00,Bypass Road,Clear,67,15,0,High
2020-01-07 02:00:00,Bypass Road,Cloudy,124,63,1,Low
2020-01-07 03:00:00,City Center,Rain,78,38,0,Medium
2020-01-07 04:00:00,Sector 16,Cloudy,96,11,0,Medium
2020-01-07 05:00:00,Highway 21,Fog,237,48,1,High
2020-01-07 06:00:00,Sector 62,Cloudy,74,68,0,High
2020-01-07 07:00:00,City Center,Fog,74,27,0,High
2020-01-07 08:00:00,Highway 21,Rain,148,62,0,Low
2020-01-07 09:00:00,Highway 21,Fog,104,24,0,Low
2020-01-07 10:00:00,Intersection A,Rain,233,31,1,Medium
2020-01-07 11:00:00,Highway 21,Rain,134,64,0,High
2020-01-07 12:00:00,Sector 16,Storm,68,12,0,Medium
2020-01-07 13:00:00,Bypass Road,Rain,86,71,0,Low
2020-01-07 14:00:00,City Center,Fog,294,6,0,Medium
2020-01-07 15:00:00,Highway 21,Storm,148,26,0,Medium
2020-01-07 16:00:00,Intersection A,Storm,48,74,0,High
2020-01-07 17:00:00,Sector 16,Rain,52,40,0,Medium
2020-01-07 18:00:00,Intersection B,Cloudy,138,28,0,High
2020-01-07 19:00:00,Bypass Road,Cloudy,199,16,0,Medium
2020-01-07 20:00:00,Bypass Road,Storm,170,26,0,Medium
2020-01-07 21:00:00,City Center,Rain,152,77,0,Low
2020-01-07 22:00:00,Bypass Road,Cloudy,204,80,0,Low
2020-01-07 23:00:00,Highway 21,Rain,153,27,0,Medium
2020-01-08 00:00:00,Intersection A,Rain,196,78,1,Medium
2020-01-08 01:00:00,Bypass Road,Storm,41,67,0,High
2020-01-08 02:00:00,Bypass Road,Storm,260,34,0,Low
2020-01-08 03:00:00,Intersection B,Clear,96,23,0,Low
2020-01-08 04:00:00,Intersection B,Cloudy,223,30,0,Medium
2020-01-08 05:00:00,Sector 62,Cloudy,23,15,0,High
2020-01-08 06:00:00,Sector 16,Cloudy,184,24,0,Low
2020-01-08 07:00:00,Highway 21,Fog,147,60,0,Medium
2020-01-08 08:00:00,Bypass Road,Rain,64,49,0,Medium
2020-01-08 09:00:00,Bypass Road,Storm,237,72,0,Medium
2020-01-08 10:00:00,Intersection A,Cloudy,254,51,0,Medium
2020-01-08 11:00:00,Sector 62,Clear,155,80,0,Medium
2020-01-08 12:00:00,Sector 16,Cloudy,187,62,0,Low
2020-01-08 13:00:00,Sector 62,Rain,256,14,0,Low
2020-01-08 14:00:00,City Center,Rain,112,26,0,High
2020-01-08 15:00:00,Sector 16,Storm,24,75,0,Medium
2020-01-08 16:00:00,Bypass Road,Fog,175,28,0,High
2020-01-08 17:00:00,Bypass Road,Storm,264,70,1,Medium
2020-01-08 18:00:00,Sector 16,Cloudy,100,65,0,Medium
2020-01-08 19:00:00,Bypass Road,Clear,266,11,0,Medium
2020-01-08 20:00:00,Highway 21,Storm,156,76,1,High
2020-01-08 21:00:00,Sector 16,Fog,82,42,0,Medium
2020-01-08 22:00:00,Sector 62,Storm,135,25,0,High
2020-01-08 23:00:00,Sector 16,Rain,132,12,1,Low
2020-01-09 00:00:00,Bypass Road,Cloudy,50,32,0,Medium
2020-01-09 01:00:00,Highway 21,Cloudy,26,58,0,High
2020-01-09 02:00:00,Highway 21,Cloudy,22,35,0,Low
2020-01-09 03:00:00,City Center,Cloudy,262,45,1,Medium
2020-01-09 04:00:00,Sector 62,Cloudy,75,41,0,Low
2020-01-09 05:00:00,Intersection B,Cloudy,92,42,0,Medium
2020-01-09 06:00:00,Intersection B,Clear,29,55,0,High
2020-01-09 07:00:00,Sector 16,Fog,80,80,0,Medium
2020-01-09 08:00:00,City Center,Cloudy,69,41,0,Medium
2020-01-09 09:00:00,Intersection A,Fog,141,35,1,High
2020-01-09 10:00:00,Sector 16,Cloudy,194,66,0,High
2020-01-09 11:00:00,City Center,Storm,20,22,0,High
2020-01-09 12:00:00,Sector 62,Cloudy,57,10,0,Medium
2020-01-09 13:00:00,Sector 62,Rain,209,13,0,Low
2020-01-09 14:00:00,Sector 62,Clear,98,15,0,High
2020-01-09 15:00:00,Sector 62,Storm,209,6,0,Low
2020-01-09 16:00:00,Sector 62,Storm,203,33,1,High
2020-01-09 17:00:00,City Center,Rain,86,55,0,High
2020-01-09 18:00:00,City Center,Cloudy,36,73,0,Medium
2020-01-09 19:00:00,Highway 21,Clear,228,27,0,High
2020-01-09 20:00:00,Intersection B,Storm,60,11,0,Low
2020-01-09 21:00:00,Bypass Road,Clear,134,60,0,Medium
2020-01-09 22:00:00,Sector 62,Storm,119,81,0,High
2020-01-09 23:00:00,Intersection A,Cloudy,158,66,0,Low
2020-01-10 00:00:00,Bypass Road,Storm,36,78,0,Medium
2020-01-10 01:00:00,City Center,Storm,93,84,0,Low
2020-01-10 02:00:00,Intersection A,Fog,282,19,0,Medium
2020-01-10 03:00:00,Intersection A,Cloudy,35,57,1,Medium
2020-01-10 04:00:00,Intersection A,Rain,33,47,1,Medium
2020-01-10 05:00:00,Highway 21,Rain,23,39,0,High
2020-01-10 06:00:00,City Center,Cloudy,146,83,0,Medium
2020-01-10 07:00:00,Intersection A,Rain,25,18,0,High
2020-01-10 08:00:00,Sector 62,Cloudy,148,73,0,High
2020-01-10 09:00:00,Sector 16,Rain,251,53,0,High
2020-01-10 10:00:00,Intersection A,Fog,214,22,0,High
2020-01-10 11:00:00,Highway 21,Rain,84,55,0,Medium
2020-01-10 12:00:00,Bypass Road,Storm,122,5,1,High
2020-01-10 13:00:00,City Center,Cloudy,296,31,0,Low
2020-01-10 14:00:00,Highway 21,Clear,177,68,0,Low
2020-01-10 15:00:00,Intersection A,Clear,243,64,0,Medium
2020-01-10 16:00:00,City Center,Cloudy,297,45,0,High
2020-01-10 17:00:00,Sector 16,Fog,201,25,0,Low
2020-01-10 18:00:00,Intersection A,Rain,23,18,0,Low
2020-01-10 19:00:00,Highway 21,Fog,234,24,0,High
2020-01-10 20:00:00,Intersection B,Clear,236,15,0,High
2020-01-10 21:00:00,Sector 62,Cloudy,228,70,0,Medium
2020-01-10 22:00:00,Bypass Road,Cloudy,93,28,0,Low
2020-01-10 23:00:00,Highway 21,Fog,246,41,0,Medium
2020-01-11 00:00:00,City Center,Fog,112,28,1,Low
2020-01-11 01:00:00,Intersection A,Rain,84,19,0,High
2020-01-11 02:00:00,Sector 62,Storm,29,16,0,Low
2020-01-11 03:00:00,Intersection A,Storm,297,68,0,Low
2020-01-11 04:00:00,City Center,Rain,105,35,1,Low
2020-01-11 05:00:00,Intersection A,Storm,45,57,0,High
2020-01-11 06:00:00,Intersection B,Clear,237,76,0,High
2020-01-11 07:00:00,Sector 62,Storm,114,48,1,Low
2020-01-11 08:00:00,Sector 62,Rain,263,34,1,Low
2020-01-11 09:00:00,City Center,Storm,126,39,1,High
2020-01-11 10:00:00,Bypass Road,Cloudy,267,25,0,High
2020-01-11 11:00:00,Intersection B,Fog,33,67,1,High
2020-01-11 12:00:00,Highway 21,Clear,180,21,0,Low
2020-01-11 13:00:00,Intersection A,Cloudy,90,16,0,Medium
2020-01-11 14:00:00,Sector 16,Cloudy,171,22,0,Medium
2020-01-11 15:00:00,Intersection A,Rain,94,64,0,High
2020-01-11 16:00:00,Intersection A,Fog,234,71,0,Medium
2020-01-11 17:00:00,Highway 21,Fog,70,19,0,Low
2020-01-11 18:00:00,Intersection A,Clear,162,20,1,Medium
2020-01-11 19:00:00,Intersection B,Rain,55,26,0,Medium
2020-01-11 20:00:00,Intersection B,Clear,186,67,0,Medium
2020-01-11 21:00:00,Sector 62,Storm,255,35,0,High
2020-01-11 22:00:00,City Center,Cloudy,279,5,1,Low
2020-01-11 23:00:00,Bypass Road,Clear,211,79,0,High
2020-01-12 00:00:00,Sector 16,Cloudy,221,10,0,Medium
2020-01-12 01:00:00,Intersection A,Rain,281,13,0,High
2020-01-12 02:00:00,Intersection A,Storm,204,56,1,Low
2020-01-12 03:00:00,Highway 21,Rain,177,84,0,Low
2020-01-12 04:00:00,City Center,Storm,265,66,0,Low
2020-01-12 05:00:00,Intersection B,Storm,129,62,0,Low
2020-01-12 06:00:00,Sector 16,Cloudy,118,23,1,Medium
2020-01-12 07:00:00,Sector 62,Rain,260,17,0,Medium
2020-01-12 08:00:00,Intersection B,Rain,221,36,0,Medium
2020-01-12 09:00:00,City Center,Clear,141,13,0,Medium
2020-01-12 10:00:00,Bypass Road,Rain,136,53,1,Medium
2020-01-12 11:00:00,Sector 62,Clear,115,41,0,High
2020-01-12 12:00:00,Bypass Road,Fog,253,35,0,Low
2020-01-12 13:00:00,Highway 21,Fog,86,35,0,Medium
2020-01-12 14:00:00,Highway 21,Fog,237,63,0,Low
2020-01-12 15:00:00,Intersection A,Rain,34,59,0,Low
2020-01-12 16:00:00,Bypass Road,Rain,292,23,0,Medium
2020-01-12 17:00:00,City Center,Clear,238,67,1,Medium
2020-01-12 18:00:00,Sector 16,Storm,293,6,0,Low
2020-01-12 19:00:00,Sector 62,Clear,166,49,1,Low
2020-01-12 20:00:00,Intersection B,Fog,171,47,0,Low
2020-01-12 21:00:00,City Center,Clear,34,5,1,High
2020-01-12 22:00:00,City Center,Storm,103,65,0,High
2020-01-12 23:00:00,Highway 21,Rain,211,7,0,Low
2020-01-13 00:00:00,Bypass Road,Clear,60,48,0,High
2020-01-13 01:00:00,Intersection A,Fog,280,11,0,Low
2020-01-13 02:00:00,Intersection A,Fog,155,37,0,Low
2020-01-13 03:00:00,Sector 62,Rain,297,13,0,Medium
2020-01-13 04:00:00,Highway 21,Clear,125,34,0,Low
2020-01-13 05:00:00,City Center,Storm,26,22,0,Medium
2020-01-13 06:00:00,Sector 16,Rain,49,60,0,Medium
2020-01-13 07:00:00,Highway 21,Clear,145,35,0,Low
2020-01-13 08:00:00,Sector 62,Cloudy,98,76,0,High
2020-01-13 09:00:00,Sector 62,Fog,86,67,0,Low
2020-01-13 10:00:00,Highway 21,Storm,42,54,0,Low
2020-01-13 11:00:00,Sector 62,Storm,208,5,0,High
2020-01-13 12:00:00,Highway 21,Storm,93,23,0,Medium
2020-01-13 13:00:00,Intersection B,Fog,24,68,0,High
2020-01-13 14:00:00,Highway 21,Clear,101,57,0,Low
2020-01-13 15:00:00,Bypass Road,Rain,44,10,0,Low
2020-01-13 16:00:00,Highway 21,Clear,283,21,0,High
2020-01-13 17:00:00,Sector 62,Rain,21,50,0,High
2020-01-13 18:00:00,Bypass Road,Storm,297,76,0,High
2020-01-13 19:00:00,Sector 62,Clear,243,77,0,Medium
2020-01-13 20:00:00,Intersection A,Storm,91,59,0,High
2020-01-13 21:00:00,Intersection A,Cloudy,87,10,0,Low
2020-01-13 22:00:00,Bypass Road,Storm,113,74,0,High
2020-01-13 23:00:00,Intersection B,Storm,38,72,0,Low
2020-01-14 00:00:00,Intersection A,Rain,147,44,1,Medium
2020-01-14 01:00:00,Highway 21,Cloudy,101,70,0,Medium
2020-01-14 02:00:00,Sector 62,Storm,273,13,0,High
2020-01-14 03:00:00,Intersection A,Storm,240,15,0,Low
2020-01-14 04:00:00,Intersection A,Cloudy,116,24,0,Medium
2020-01-14 05:00:00,Intersection B,Cloudy,71,47,0,High
2020-01-14 06:00:00,Bypass Road,Clear,194,62,1,Medium
2020-01-14 07:00:00,Bypass Road,Rain,201,82,0,High
2020-01-14 08:00:00,City Center,Cloudy,134,30,0,Low
2020-01-14 09:00:00,Intersection B,Cloudy,20,42,0,High
2020-01-14 10:00:00,Highway 21,Fog,82,40,0,Low
2020-01-14 11:00:00,Bypass Road,Cloudy,267,59,0,Medium
2020-01-14 12:00:00,Sector 62,Rain,250,10,0,Low
2020-01-14 13:00:00,Intersection B,Storm,245,7,1,Low
2020-01-14 14:00:00,Intersection A,Storm,38,69,0,Medium
2020-01-14 15:00:00,Sector 62,Storm,50,68,0,Low
2020-01-14 16:00:00,Sector 62,Storm,140,62,0,Low
2020-01-14 17:00:00,Intersection A,Fog,43,62,1,High
2020-01-14 18:00:00,Intersection B,Cloudy,230,22,0,Low
2020-01-14 19:00:00,Intersection A,Storm,180,27,0,High
2020-01-14 20:00:00,City Center,Clear,274,33,1,Low
2020-01-14 21:00:00,Sector 62,Storm,78,27,0,Medium
2020-01-14 22:00:00,Sector 16,Cloudy,133,40,0,Low
2020-01-14 23:00:00,Sector 16,Storm,179,74,1,Low
2020-01-15 00:00:00,Highway 21,Fog,239,10,0,Low
2020-01-15 01:00:00,Bypass Road,Rain,188,38,1,High
2020-01-15 02:00:00,Intersection A,Rain,31,48,1,Medium
2020-01-15 03:00:00,Intersection A,Cloudy,261,48,1,Medium
2020-01-15 04:00:00,Highway 21,Rain,158,31,0,Low
2020-01-15 05:00:00,Highway 21,Rain,116,56,0,Low
2020-01-15 06:00:00,Highway 21,Clear,166,46,0,High
2020-01-15 07:00:00,Sector 62,Cloudy,201,29,0,Medium
2020-01-15 08:00:00,City Center,Cloudy,76,78,0,Low
2020-01-15 09:00:00,Intersection A,Rain,61,43,0,Low
2020-01-15 10:00:00,Sector 62,Rain,218,43,1,Medium
2020-01-15 11:00:00,Highway 21,Rain,50,16,1,Low
2020-01-15 12:00:00,Intersection A,Fog,199,15,0,Low
2020-01-15 13:00:00,Sector 62,Storm,21,7,0,Medium
2020-01-15 14:00:00,City Center,Fog,157,26,0,High
2020-01-15 15:00:00,Sector 62,Cloudy,124,8,0,Low
2020-01-15 16:00:00,City Center,Clear,237,12,0,Low
2020-01-15 17:00:00,Highway 21,Storm,241,18,1,Medium
2020-01-15 18:00:00,City Center,Clear,124,18,0,Medium
2020-01-15 19:00:00,Intersection A,Cloudy,146,20,0,High
2020-01-15 20:00:00,Highway 21,Cloudy,284,36,0,High
2020-01-15 21:00:00,Intersection A,Clear,219,68,0,Low
2020-01-15 22:00:00,Sector 16,Clear,271,80,0,High
2020-01-15 23:00:00,Intersection B,Clear,34,20,0,High
2020-01-16 00:00:00,City Center,Cloudy,245,56,1,High
2020-01-16 01:00:00,Intersection B,Rain,124,23,0,Low
2020-01-16 02:00:00,Intersection B,Clear,252,73,0,High
2020-01-16 03:00:00,City Center,Storm,238,16,0,High
2020-01-16 04:00:00,Highway 21,Cloudy,296,9,0,High
2020-01-16 05:00:00,Sector 16,Fog,280,46,0,Medium
2020-01-16 06:00:00,Intersection A,Fog,209,21,0,High
2020-01-16 07:00:00,Sector 62,Storm,217,76,0,High
2020-01-16 08:00:00,Intersection A,Rain,296,14,0,Medium
2020-01-16 09:00:00,Sector 62,Clear,58,20,0,Medium
2020-01-16 10:00:00,Intersection A,Cloudy,181,20,0,Low
2020-01-16 11:00:00,City Center,Clear,140,46,0,Low
2020-01-16 12:00:00,Sector 16,Cloudy,281,7,0,Medium
2020-01-16 13:00:00,Sector 62,Fog,235,27,0,Low
2020-01-16 14:00:00,Bypass Road,Clear,68,32,0,High
2020-01-16 15:00:00,Highway 21,Storm,111,49,0,Low
2020-01-16 16:00:00,Intersection A,Rain,148,72,0,High
2020-01-16 17:00:00,Intersection A,Storm,47,28,0,High
2020-01-16 18:00:00,Sector 62,Rain,167,23,0,High
2020-01-16 19:00:00,Highway 21,Clear,84,79,0,Medium
2020-01-16 20:00:00,Highway 21,Clear,237,44,0,Low
2020-01-16 21:00:00,City Center,Rain,70,50,1,Low
2020-01-16 22:00:00,Bypass Road,Fog,93,44,0,Medium
2020-01-16 23:00:00,City Center,Cloudy,218,66,0,Medium
2020-01-17 00:00:00,City Center,Storm,211,22,0,Low
2020-01-17 01:00:00,City Center,Storm,208,16,0,Medium
2020-01-17 02:00:00,City Center,Storm,31,18,0,Medium
2020-01-17 03:00:00,City Center,Clear,258,65,1,High
2020-01-17 04:00:00,Sector 16,Storm,100,16,1,High
2020-01-17 05:00:00,Highway 21,Cloudy,289,31,0,High
2020-01-17 06:00:00,City Center,Cloudy,67,10,0,Medium
2020-01-17 07:00:00,Highway 21,Rain,228,37,0,Medium
2020-01-17 08:00:00,Highway 21,Clear,54,84,0,High
2020-01-17 09:00:00,Intersection B,Cloudy,138,54,0,High
2020-01-17 10:00:00,Sector 16,Fog,84,16,0,Low
2020-01-17 11:00:00,City Center,Clear,261,61,0,High
2020-01-17 12:00:00,Intersection A,Clear,55,57,0,High
2020-01-17 13:00:00,Sector 62,Cloudy,271,17,0,Low
2020-01-17 14:00:00,Bypass Road,Fog,262,76,0,Low
2020-01-17 15:00:00,Intersection A,Rain,61,7,0,Low
2020-01-17 16:00:00,Sector 16,Cloudy,88,68,0,Low
2020-01-17 17:00:00,Sector 62,Fog,126,62,0,Medium
2020-01-17 18:00:00,Sector 16,Clear,58,8,0,Low
2020-01-17 19:00:00,Highway 21,Fog,88,49,0,Low
2020-01-17 20:00:00,Sector 62,Clear,199,70,0,Medium
2020-01-17 21:00:00,Highway 21,Cloudy,31,40,0,Low
2020-01-17 22:00:00,Intersection A,Cloudy,223,27,0,Low
2020-01-17 23:00:00,Intersection A,Storm,55,23,1,Low
2020-01-18 00:00:00,Sector 62,Storm,145,44,0,Medium
2020-01-18 01:00:00,Sector 62,Storm,82,76,0,High
2020-01-18 02:00:00,City Center,Cloudy,101,20,0,Low
2020-01-18 03:00:00,Sector 16,Rain,53,62,0,Low
2020-01-18 04:00:00,City Center,Cloudy,259,22,0,Low
2020-01-18 05:00:00,Sector 16,Fog,116,40,0,Low
2020-01-18 06:00:00,City Center,Cloudy,68,28,0,Medium
2020-01-18 07:00:00,Highway 21,Cloudy,165,5,0,High
2020-01-18 08:00:00,Sector 62,Clear,144,5,0,Low
2020-01-18 09:00:00,Intersection A,Clear,208,68,0,Low
2020-01-18 10:00:00,Sector 16,Clear,76,66,0,Medium
2020-01-18 11:00:00,Sector 16,Cloudy,128,40,0,High
2020-01-18 12:00:00,Intersection A,Rain,24,79,1,High
2020-01-18 13:00:00,City Center,Fog,43,22,0,High
2020-01-18 14:00:00,Sector 16,Fog,240,20,0,Low
2020-01-18 15:00:00,Bypass Road,Rain,29,21,1,Low
2020-01-18 16:00:00,Highway 21,Rain,184,28,0,Low
2020-01-18 17:00:00,Sector 62,Fog,234,72,0,Medium
2020-01-18 18:00:00,Intersection A,Storm,145,83,0,Medium
2020-01-18 19:00:00,Sector 62,Clear,286,6,0,Medium
2020-01-18 20:00:00,Bypass Road,Clear,299,77,0,Low
2020-01-18 21:00:00,Sector 16,Fog,107,14,0,Low
